timestamp,speaker,words,tags
,EC," Yeah, they’re right in there. And it has some of the notes of some of the demands that we had. But basically it was, you know, to be— to have equal representation in presenting ideas, you know? And being part of the workshops. Not just being the workers, but also being able to be part of the, you know, the leadership. And, so, when we came back, like I said, we came back pretty fired up. And we said, “You know what?” She says, “And we’re going to be asking for equal representation and equal rights in some of these things. We need to know what we’re talking about. We need to know the issues. We need to be political ourselves. We need to know that what we're saying is something that is going to be good for everybody.” And, so, then we started having workshops or classes for ourselves. ",
,MC, For chicanas. ,
,EC," Si, uh huh, for our chicanas. And at that time one of the things that I was really interested in— ‘cause my major was health. You know, I had always wanted to study medicine but I ended up going into community health, which I really liked. And one of the things that I did, I don’t know if you remember that book, Our Bodies Ourselves? ",
,MC, Mhmm. ,
,EC," That kind of became my Bible. And a lot of young chicanas were getting pregnant… and what was happening to them is that they would get pregnant and they would have to drop out of school and, you know, take care of the children, and usually the guy would just disappear. And, so, one of the things that was also beginning around that time was birth control, okay? And, so, I really got into giving classes on birth control— our bodies. Many young chicanas didn’t know what a vagina was or where their ovaries were or what the function of those things were and that they had control of that. You know? And so I became a real advocate. And every time we would have our classes or our circulo or our little group meeting, I would take the first 15 to 20 minutes and I would do a lesson on, “Okay, today we’re gonna study something from Our Bodies Ourselves.” Whether it was the psychology part of it or the medical part of it or the anatomy, but I would do presentations. And I have some pictures where I’m standing (laughs) I’m right there with my posters, you know, of the vagina and the fallopian tubes and the— (laughing). ",
,"It sounds ridiculous but I mean, that needed to happen because we hadn’t gotten that from our parents, and we really needed to take care of ourselves before we could, you know, get out there and start taking care of other people, you know? So, um, that was one of the things that I pushed for, you know, was helping young girls know who they were physically and to have control of their bodies and their mind. ",,
,MC," And did you— so when you talk about these workshops, they were going’ on with San Diego State students, women, were they happening through like a— did you develop an organization or was it just—? ",
,EC," Just a, “Hey, we’re gonna—“ ",
,MC," A grupo, a círculo. ",
,EC," Un grupo, un círculo, yeah. “Okay, we’re gonna have our meetings every Wednesday, they MEChA meetings are on Thursdays so on Wednesdays the women are gonna get together.” And we would go over the agenda that was gonna be presented at the MEChA meeting so that when it was presented we knew what they were talking about. So that it wouldn’t be totally controlled by the guys. ",
,MC, And was it at that time? ,
,EC," Oh, yes, oh, yes, oh, yes. Very much so. I remember one meeting— and I think, Sonya, I’ll tell you about this. There was this one guy and he wouldn’t let anybody talk. And some of the women wanted to say something and he wouldn’t let them talk. And, remember I told you I had taken karate? I was a red belt Taekwondo. And, um, you know, I felt pretty strong, you know, in mind and body (laughs). And, so, myself and a couple other women went and picked up the guy and removed him from the room and threw him outside and closed the door so we could keep going with our meeting. ",
,MC, And what did the other guys think about that?,
,EC," Oh, they were just like, “What the hell’s going on here?” “Respeto!” (Laughs) Oh, God. We were wild. I mean, we were— I mean, but, you know? We were trying to be ourselves, and given the opportunity that any other person would have, without being put down. You know? So— ",
,MC," And, so, I’m curious about this because a couple of things— we’ll just take a little aside because, you know, Anna Nieto Gomez, when we did our interview with her, she also talked about Our Bodies Ourselves. ",
,EC, Yes. ,
,MC," And I think it’s very interesting because a lot of times the way that we sort of think about Chicana Feminist History is almost as antagonist. And that is true that there were moments of antagonism and power struggles with the white women just as there were with the brown men. Um, but I think that what gets lost in that narrative a lot of times is the important— you know, the tools the Feminist Movement actually gave chicanas to intervene in their own situation, their political situation. ",
,EC, In our way. ,
,MC," Exactly, yeah. ",
,EC," In our way. Because a white woman could not have done the same thing. You know, uh, a white woman could not come in and tell us what to do because it would have never worked. As it was we were already getting a lot of criticism from the chicano men for listening to the white women or reading, uh, some of their stuff, like, uh, oh gosh, a lot of Gloria Steinem stuff was coming out at that time and there were other women that were putting out literature at that time and we were reading it. As part of our groups we were reading it. But in our grupo, like I said, I would usually start it off with something like that, but there were other things going on. Like, for example, Felicitas had her interest in the arts, and Viviana. And they wanted a teatro. They wanted not only to talk about this stuff but to act it out and show it. And then Olivia with her music and her guitar wanted to sing it. You know, so it wasn’t just this part of it but it was, it was pretty— you know, there was historical, it was enlightening in terms of our head, um, it was meeting our heart through our music, you know, and theatre. And, so, it had a lot of different branches because the women that were involved in the group had interests in all different areas. And I think that’s what made us richer. I think that’s what made us, you know, more balanced. And I think that, you know, like Anna, you know, and the women up in San Francisco, Dorinda, you know— that I can’t remember all the names but I remember them. And Maggie, you know, and…",
,MC, So how did you know all these women? What were the networks like? Like how did you,
,[XXX9,03 Tape 1b],
,EC," We started going to MEChA conferences, you know, in different places. And then in ’69 was when we started CHE. Because we needed— what was happening— the fight for Mexican American Studies was not just us at San Diego State but it needed to happen throughout the state. And the battle that we were having were the same battles that other people were having up and down the state. So, um, Chicano Council for Higher Education came in and, um, that’s how we started meeting other people. Well, of course, first through the MEChA conferences. We went to women’s conferences, we went to the MAYA Conference, um, then I did that internship in the Raza Unida Party in Crystal City. And, so, all those connected me with different people. And other people were doing other things too, you know? So we were meeting— “Ay, have you heard of this person?” Have you heard of that person?” You know, “They have some good ideas.” And, so, we started borrowing ideas from each other and building on them, and knowing that we had support somewhere else, too. You know? That we weren’t acting alone, not only as women and as chicanas, but as chicanos in the development of Mexican American Studies into Chicano Studies. ",
,"And CHE, I think, was real instrumental in the development of Chicano Studies because that’s what it was set up for. Um, and what we would do is, actually we would have four conferences going on at the same time and it was like a two-day conference, and, so you would come up on Saturday and there were four segments. It was a segmental conference. So you had your private colleges, your universities, your state colleges and your community colleges. If we were meeting here in San Diego, then we brought in those satellites. They met by themselves, uh, segmented, um to discuss where were the Chicanos, what were some of the hassles that you were having, how’s the implementation of Chicano Studies coming along, um, are you supporting your chicano students on campus, are they getting what they need to maintain and stay there and finish out? And this was going on in the four levels. And then on Sunday we would come back all together, all four of us, and sometimes we had, you know, up to 300 people. And we would share, you know, what the resolutions or the findings that everybody had. And then from there, nació el Plan de Santa Bárbara. They said, “You know we need to come up with a real, set plan.” And, you know, el Plan de Santa Bárbara is basically supporting Chicano Studies and, you know, giving it its substance. ",,
,MC, So that was a CHE Conference at Santa Bárabara? Is that right? ,
,EC, No. It wasn’t. No. It was el Plan de Santa Bárbara. ,
,MC," Right. It happened at a conference, right? ",
,EC," Yeah it was, uh— but I don’t think it was a CHE. I think it was something to do with MEChA. ",
,MC," Right, because, I think, did CHE come after the MEChA? Does that sound right? ",
,EC, Yes. ,
,MC, Okay. That must be. ,
,EC, Yeah ,
,TAPE 1C,,
,MC," Yeah, that’s really interesting. One of the things that interests me so much about this project, having interviewed women all over the country, right? Well, not all over the country. Southwest and Michigan and Illinois. Uh, was the networks, how people were communicating because this was the time before— ",
,EC, And we didn’t have computers. ,
,MC," I know, you had to physically travel. ",
,EC, We didn’t have cellphones. We had to write. ,
,MC, Yeah. Reports. ,
,EC," We had to write. Oh, yeah. Uh, I know in CHE, when I was the president in I think it was ’70, ’71, and then I stayed— Renée [Tape 1c 0","46] was president I think ’69, ’70. And I think I was president ’70, ’71, ’72, ’73 ay por allí. I think I stayed in for three years. I stayed one extra year. Uh, we did a newsletter and we produced a newsletter every month. And we would get articles for different people from different places. And, uh, we would, you know, say this is what’s happening in the South, this is what’s happening in the central region, uh, and this is what’s happening in the North. And that’s how we communicated. But, no, there was a lot of movement going on. And those conferences were once a month. "
,MC, How did you get any studying done?,
,EC," (Laughs) Ay, you just did it. You just did it. ",
,MC, How did you graduate?,
,EC," And my major was— I had a double major. I had Community Health and Chicano Studies. And Spanish! And a minor in Spanish. I don’t know, I just did it. You know? ",
,MC, You did it in four years? ,
,EC, I did it in— no. I think I did it in five years. ,
,MC," Oh, five years. ",
,EC," Yes, because I also had a baby. ",
,MC, Oh my god. ,
,EC, And I also got married in ’69. So when I went to Crystal City I was already married. ,
,MC," So, okay, let’s uh— ",
,EC," And let me tell you, and that was interesting because I remember my husband— ",
,MC, When did you go? Let me put that down. ,
,EC, The summer of ’69. ,
,MC, Crystal City summer of ’69? ,
,EC, ’70. ,
,MC, Okay. ,
,EC," Yeah, because I got married in ’69 and it was that next year, ’70. And I remember my husband used to criticize, “But you’re married with her! ¿Por qué la dejas?” You know, and this and that. Well, let me tell the story about my husband and getting married to him. Well, my husband was a real macho from Texas. And as far as he was concerned the woman was gonna stay home and cook and take care of the kids, you know? Sin chanclas. (Laughs) Like they say, you know? But, um, that wasn’t me. ",
,MC, And he was a student here at SDS— ,
,EC," Yes, at San Diego State also. He left Texas right after graduation and joined the Navy, okay? And then went to the Navy and got trained— it was during the Vietnam War— but he got trained in the medical field. And he became a surgical technician and a urology specialist. And ended up working at the VA Hospital in San Diego. Okay? So he never was shipped away. I don’t think he’s ever been on a ship. Okay? But they kept him there. But he saw everything that happened in the Vietnam War. He was getting all the wounded soldiers. And he was at City College for two years and then transferred to San Diego State for the last two years. And that’s where we met. My husband’s about six or seven years older than I am. But anyway when we got married, um, we had a big battle. And he wanted me to cook and I hate to cook. Sorry, but I don’t cook. You know? I love to bake. But not cooking. And I told him, “No, I’m not cooking.” I remember the first huevos rancheros I made for him (laughs). I got the chile verde and I put it in the skillet and then I got the huevos and I put it on top and then I stirred it. And I said, “Here’s your chile rellenos.” (Laughs). ",
,"That’s my cooking, you know? And he, when he grew up he worked at a restaurant with his father as a cook because his father was one of the cooks. And he knew how to cook real good. I said you know what I don’t know why you want me to cook. You cook so much better than I do. I said I’ll wash the dishes, I’ll clean the house but I won’t cook. He says, “No, in my house you’re gonna cook.” And this and that and that’s how they do it in Texas. And I said, “Okay, bye bye.” Packed my bags and left. And I left to my girlfriend’s house. You know, at that time we were all pretty tight. And I was gone for three days and then, uh, the third day he comes knocking on the door and he says, “Can you come home.” He says, “I promise you I will cook for you for the rest of your life.” And until today he still cooks for me. ",,
,"So, in our home— ",,
,MC, You had a walkout! ,
,EC, I had a walkout. ,
,MC, You walked out. ,
,EC," I striked [sic] and I walked out. (Laughs) No. And, uh, in our home, I have four children. And our home, we both work full time, so we shared our duties in the home. He did not have a problem taking our kids to the doctor, washing clothes, cooking, and so our kids grew up with that. Uh, my kids, I have three boys and one daughter, they know how to cook, they know how to wash their own clothes, they know how to, uh, clean house, um, they know how to do everything. ",
,MC," Well, this is one of the great untold stories of the Chicano Movement, right? That it really drastically changed families. ",
,EC," Yeah, but, see, the woman’s consciousness or the chicana’s consciousness did not only happen with women. It happened with men too. Because as I was learning he was learning. And he, he has such a respect for women. It’s incredible. And I think it comes from what our relationship was. And I think that the women that were able to have those types of relationships with the chicano men, uh, you know, it was because the woman was a strong woman. And if you were not a strong woman, the man was gonna take over. ",
,MC," And the other thing that is very interesting to me is that, uh, you know, talking to other women, this idea that the Women’s Movement, the white Women’s Movement, uh, kinda created this line in the sand, right? So families were always patriarchal and there was no— you know, in a way you had to kind of reject the family system in order to move forward with the women’s movement and with rights and liberation for women. And with chicanas it was very different. ",
,EC," Oh yeah. Yeah, we were constantly asked, well, you have to pick. The Women’s Movement or the Chicano Movement. And I said, “Well, I can’t be in the Chicana Movement if I’m not a woman, so it has to be both.” You know? But the men were so angry, you know, that the women were gaining their consciousness and they were becoming— you know, they weren’t being subservient or below them. You know, they couldn’t control us. They had to treat us as equals and if they weren’t willing to treat us as equals we weren’t gonna have anything to do with them. And they, they had a hard time with that. But I think at that time they weren’t realizing that by us doing that, they were becoming stronger. And so many of the men that were with us at that time, I think did very well professionally when they moved on to their careers and their professions because they had been through that. And they learned how to respect women as equals and get along with them. Whereas, a lot of men don’t. Even white men don’t, you know? I see some of the things that are going on right now with the mayor of New York, our own mayor here in San Diego. And they do things with women or two women and they don’t realize that what they’re doing is wrong and disrespectful. And it’s because they’ve never had that consciousness, you know? They’ve never been taught. Neither by their mothers nor by their wives or partners. You know? It’s sad. ",
,MC," Well, I know it’s been the experience of my mother and many other women, that, just what you described. That it involved a radical transformation in the chicano family because many had grown up in very traditional families, you know? ",
,EC," Oh, my family was very traditional. ",
,MC, Speaking of which— ,
,EC, But I wasn’t. ,
,MC," I’d like to move on next to the Houston conference. You went to the Houston conference, the first national Chicana Conference.",
,EC, Mhmm. ,
,MC," So we were just talking about the actual of developing Chicano Studies and healthcare. So, did you want to talk a little bit about that?",
,EC," Well, when we wanted to move from Mexican American Studies to Chicano Studies, there was additional battles. Now, at this time we had, um, you know, círculos or groups that were meeting and the chicanas and the chicanos and, uh, gradually we started moving towards, uh, study groups. And, of course, there wasn’t a whole lot written about chicanas and chicanos. So we were trying to pick up on information that was being written about oppressed women in other countries. And, so, at that time we started reading some of the stuff that was coming out of China, um, Cuba, you know? About their movements and the plight of women and oppression and the history of oppression. And, so, we didn’t feel we had a lot of knowledge on that. So, we were developing study groups and these study groups were outside of the classroom because they were so radical that they would probably not be accepted in the classroom. And we were reading some of Marx’s stuff and Engels and Che Guevara stuff and Fidel Castro, and you know a lot of stuff that was coming out of other third world countries. And how they were dealing with oppression. Uh, oppression of people, Pedagogy of the Oppressed, for example, by Paolo Friere, you know, a lot of that kind of work. Uh, now it’s more accepted than it was in the early 70s, because that’s when this was all happening. So, uh, in the movement towards Chicano Studies and making it more refined, a lot of that theory was coming in. And there at that time were some chicanos that were very nationalist and wanted it to be only Mexican and only chicano. And then there was another group of us that were more, hey, you know, it’s about oppression. It’s oppression of a people, oppression of women, you know? ",
,MC, Third world struggles. ,
,EC," Uh huh, third world oppression. Um, look at what is happening to, you know, countries that are not part of the Superpower, you know, it was all that. And, so, it was taking, uh, a different political frame. And, so, there were people who were not for it. And we had professors in Chicano Studies that were nationalistic, we had students that were nationalistic, so there was a big struggle. You know, it was such a big struggle that, you know, towards the ’72 ‘73s there were splits and big fights, you know, big battles. And I think there were more philosophical fights, you know, where people were at different phases. And I remember myself for a long time I didn’t really care a lot for people that were very nationalistic because they weren’t inclusive and it took me a while to understand that that was a stage in development and that some people had to go through that to get to the next stage. And, uh, but back then I was young and I was just learning and I was excited about what I was learning and I wanted to implement what I was learning, not only in, you know, in my classes but also in the community. Because at the same time, you know, there were other things going on. We had a child care center for all our families that were going to college and we supported the child care center because we didn’t like what childcare centers were providing. You know, they weren't teaching the kids about their culture, they weren’t teaching them about their language, they weren’t teaching them about their history, you know? So, we went and found a house in the community and we rented it and we staffed it ourselves and we hired people and people would pay a little bit of money instead of paying at some institution, we were running it ourselves. ",
,MC, A childcare center in the community for students and for community members?,
,EC, Mhmm. ,
,MC," So, bringing the two groups together? ",
,EC," Yeah. And we also started the Barrio Station, which is still a big thing and that’s where we also had “la escuelita” and it was a school, you know, that children could go to to learn about different things. ",
,MC, And what was the Barrio Station?,
,EC," The Barrio Station is now a big recreation center and it’s run by a woman named Rachel Ortiz who is a very strong lady. Probably someone you should interview, too. They’re making a film on her. ",
,MC," Oh, really? ",
,EC," Yeah, she’s quite a lady. And, uh— ",
,MC," And was the Barrio Station, was that kind of, was it inspired by other models that you had seen during your development or—? ",
,EC," Well, you know, before the Barrio Station and the Chicano Health Clinic— ‘cause we also had a health clinic— we had the Chicano Federation. Okay? And these are all things that started from San Diego State, and it started from this group. So, you see it wasn’t just what we were doing on campus but there were a lot of stuff we were doing in the community. And, you know, sometimes we forget that a lot of these things that were going on also came from what we were doing. And the Chicano Federation was basically a group in the community that was kinda like, uh, an advocate in the community for chicanos. Chicano rights. Whether it was janitors or laborers or, you know, you could come to the Chicano Federation and present your, uh, what was going on and then, you know, we would try to do what we could. And we would bring in people from different organizations like MAPA, at that time, the Mac Project, uh, SER, there was an organization called SER. Uh, and so we had people from all of those different [organizations] sitting on the board and then we would have Chicano Federation meetings. And I remember having meetings where we had hundreds of people from the community, and it was students from all the segments and, uh, community people. And from there, the Barrio Station and the childcare center, the Centro Cultural, you know, were born. ",
,MC," Oh, and in Balboa Park. ",
,EC," Yeah, Chicano Park, you know, all those things— they were kinda all kinda related because it was some of the same people. And, so that was exciting. ",
,MC," And was that also in the same period, so ’69, ’70? ",
