timestamp,speaker,words,tags,
, I," I’m curious about how you traced your lineage to the, to the border and to New Mexico. As, in fact, it’s the case that many of the California women that we have spoken to have connections to New Mexico and that part of the Southwest. It’s very interesting. When did your family come to California? So that, uh, you grew up in San Bernardino?",,
,R, Yes. ,,
,I," So  what was that like, growing up in San Bernardino as a Chicana young woman who still didn’t know that history, didn’t have that to hold onto?",,
,R," Yeah. Well, as you know, we’re— I’m a product of the fifties. So it was the americanization, the assimilation process that was in place. And so what my mother tells us is that somebody came to the door and told my parents that we should stop speaking Spanish. But I guess I’m getting ahead of myself because you asked me how we got to California. And my father, um, my father’s father, so my grandfather that I never knew, because all of my grandparents died before I was born. But, I’m sad about that. I wish I had known my grandparents. I always encourage young people to get to know their grandparents and talk to them because I never got to know mine. And when you read about them and learn about them through documents you want to ask them questions. So ask them now, while they’re alive. ",,
,"But yes, my father, my grandfather, uh, as I said, was born in Bernalillo. His parents were born in Bernalillo, their parents were born in Bernalillo, they went way back. So, um, I did my ancestry and I went as far back as twelve generations and family stories are so amazing. And it turns out my grandfather got a job in the railroad, the Southern Pacific Railroad, because that was just coming up through New Mexico at the turn of the century. So he started traveling on the train between New Mexico and Los Angeles. And, um, so they ended up buying a house in San Bernardino. And he said, “We were kind of in between two states. We were between San Bernardino, California and we were between Bernalillo, New Mexico. So, that’s kind of what happened. ",,,
,"The story is fairly dramatic, too, actually, in that my grandmother had twelve children and her first one was baptized there in the Bernalillo church. I visited there and I visited the cemetery and it's just amazing to look and touch history by going to visit where your ancestors were born. But, uh, I heard the story from my parents from the time I was a little kid. And it was a very painful story for my father to tell so he— and he didn’t talk very much. But basically what happened was they were living in San Bernardino at the time and my grandmother was expecting and she died in childbirth with her twelfth child. ",,,
,"So basically, when you talk about women’s struggle, I began to see it in the lives of my very own family members. My grandmother got married at age 15, um, I have a beautiful wedding picture of her. Um, it looks idealistic. The church is beautiful. All their ancestors before them— I have their names on a s— hand written on a little book that they still have there. But she lost her first two leo— they call them the two Leopoldos. That was the family name. And my father was supposed to be named Leopoldo as well but she was afraid to name my father Leopoldo after she lost two. So he became Leonidas, uh, Leonidas Nicolas Sanchez. And, um, um, anyway, they had more children, many more children. And her twelfth child—her name was Dolores, by the way. Talk about symbolism. ",,,
,I, Mmhmm. ,,
,R," Uh, and there’s so much of it— it’s so much more than symbolism, isn’t it? Because she is Dolores, which means “dolor” in Spanish, or pain or suffering. And, uh, her last child that was born was named Dolores and was now an orphan, so to speak, because her mother had died. ",,
,"So, and the other thing about my grandmother, she was born on, it’s called, the feast of San Lorenzo. And the Feast of San Lorenzo has incredible historical consequences. Uh, it was actually the feast of the survival of the Spanish at the Pueblo Indian Revolt in 1680. So it’s a tragic history on both sides. I’ve read both sides. It’s so painful for the Spanish and the Indians because the Spanish actually exiled the Indians out of New Mexico in 1680 and, uh, well, as you can see I could talk about our Chicano/Chicana history forever but— my grandmother died in childbirth and my father tells the very sad story as they all surrounded her bed trying to keep her alive and she just died right in front of them. And, uh, so my grandmother Dolores is the representation for me of the Chicana, Mexicana, Hispana woman and yet, it’s not just about tragedy. Its about these incredible women who survived an immense amount of, uh, pain and suffering and struggle and emerged these beautiful and, uh, did amazing things!",,,
,"I have this picture of my grandmother with all of her children, her eleven children around her. Well, not elven, actually nine, because, remember, two had passed away. And that she’s pregnant, the other one hadn’t been born yet. And they’re all dressed really nicely and I’m thinking, “How did she, how did they do that? You know, how did she do that with eleven children?” And then my uncle told me that she made all of their clothes and even the boys’ suits. ",,,
,"So these were amazing, amazing, amazing women and I just really give credit to them. So we got to California (laughs), to answer your question, because my—because of Chicano/Chicana history. Because my—they came to New Mexico because, um, of the railroad. And there’s a whole history that needs to be written about that— of the people that have been in the railroad. And then she died on I Street in San Bernardino in that house. And my grandfather went back to New Mexico to ask his sister—her sister, Dolores’ sister’s name was Lorenza. I guess my tía Lorenza, even though I never met her, she was asked to marry my grandfather ‘cause that was the tradition. ",,,
,"And Chicanas were strong in those days too. She said, “No.” But what she did is, she said, “I will adopt the baby officially.” So she adopted baby Dolores and raised her as her own. And did not tell her. And when she was a young girl, her sisters, my dad’s sisters told her that she was adopted and she was really their sister and her mother had died when she was a baby. So, there’s all these amazing stories! ",,,
,"My mother has an amazing story. There’s her husb— her father, my grandfather was part of Los Mineros. Paul Espinoza has documented Los Mineros in uh, Clifton-Morenci and that’s where my mother was born. She was part of the New Mexico tradition. Her mother was from New Mexico, but he was a miner. So when she was— when they were in Clifton, that’s when my mother was born. So she happens to be born in Clifton, Arizona. So, her mother was educated because when her father died, and uh, I didn’t tell you this yet but he was a part of the US invading Army. Talk about— talk about contradictions in our lives as Chicanas, Mexicanos. ",,,
,"Uh, he was the US invading army that married the Mexican-Indian woman. He was Charles Henry Coleman that married Macedonia Cruz. And, so, the children were Amelia Coleman was my grandmother, my mother’s mother. And, um, they lived in southern New Mexico. My great grandfather is actually one of the founders of Las Cruces. People don’t know this, but Las Cruces came after the US takeover. And Las Cruces is actually demanded to— by the Mexican people that they start their own town because they were actually in Doña Ana and they were basically raping the women there when they came in. ",,,
,"‘Cause they were part of their Missouri, um, soldiers. Some of those soldiers—my grandfather luckily, happily, was not part of this group— but when the Missouri soldiers came in they really mistreated the people. They moved right into Doña Ana which was one of the oldest land grants there on the border when the US-Mexico takeover. And they actually just moved right in on the town and just celebrated because, you know, that— they were winning the battles and the women suffered very much. And, so, they wanted to maintain their own Mexican traditions in Doña Ana and later Mesilla it was called after the US takeover and, uh, so my great grandmother was part of that tradition. She’s actually one of the people, the first founders of La Mesilla, which is called the Gadsden Purchase, uh, if you remember your history, um, what happens there after the US takeover", the Mexican people move and form their own little community to be on the Mexican side of the border and they name in La Mesilla. And the US eventually takes that over too. ,,
,"But we have found a census of all the first people in La Mesilla and my grandmother and her mother, her name was Betalia Letisma, uh, she was also on the census. And these census are amazing because they’re all hand-written in script. And they kept these records so carefully. And so, yeah, these women were amazing. Um, she, she died. My great grandmother died when my grandmother was only eight years old. So they had to put her in a convent and the convent had just happened. ",,,
,"And again, I’m talking about women. Because women were the sisters who came out to educate the children. And they almost died coming out. They had to cross the river and they almost died. It— one of the priests said, “Make the sign of the cross in the act of contrition because you’re not going to make it across.” But they did. They made it across. So my mother— grandmother— was raised by the Sisters of Loretto from the time she was eight years old. ",,,
,I, I’ve been to La Mesilla. Its a really incredible place. ,,
,R," Yes. Dina Gonzalez at a conference—we were at a conference and I said, “Dina, we’re here in Las Cruces—“ which Rich— my husband Richard Griswold was giving the keynote speech, actually on the Treaty of Guadalupe-Hídalgo ‘cause he had written that book on the Treaty of Guadalupe- Hídalgo and uh, he said, “Do you want to go with me to this?” And we had just gotten married. It was about 1996 or ’97. “Yes! That’s where my ancestors are from.” And he said, “Well, I don’t know it's some little podunk town called Doña Ana.” (Laughs) And I found out later that’s where my grandmo— where my ancestors on my mother’s side were born. But, yeah, La Mesilla was amazing. ",,
,"I asked Dina Gonzalez, she was there giving a presentation at a conference and I said, “What do we do while we’re here?” And she said, “Well there’s this cute little place over there called La Mesilla, you should go see it. It’s just like the Spanish courtyards used to be with the church in the center and all the shops around it.” And that’s where my grandmother was from. ",,,
,I," And I think the convent is on that main square, it’s now, uh, something else. ",,
,R," Oh, sadly its a shopping mall, yeah. The convent used to be right there on the square and now it's a shopping mall. ",,
,I, It’s gone? ,,
,R," It’s gone, yeah.  It’s gone. And sadly, so, in the Las Cruces the church was Saint Genevieve's and Saint Genevieve's is gone. And a Chicano wrote a dissertation on it. And it's kind of giving me goose bumps right now because (laughs) because what it says is so true of our history. It said we were so tight a community before the intrusion of the US. We were so tight a community, our communities were church-centered. And that’s where we had the music, the jamaicas, the fiestas, the feast days of the celebration of our saints days, our birthdays, the weddings, the, the, um, confirmations, the first communions, the baptisms. We had an amazing, incredible culture that was—all we had to do— this dissertation says— was take the church away. ",,
,"And when they took Saint Genevieve’s out of Las Cruces, they, they destroyed the culture. Or they never destroyed the culture but they, they broke up the culture there. You still have the cemetery right there, right where next to where Las Cruces was, and that’s where some of my ancestors are buried, but you don’t have the church. The community was— they tried to dissipate our communities by taking the church away. ",,,
,I, Mmhmm. ,,
,R, Destroying it. I love that dissertation. Its unpublished. But you can find it in the Las Cruces library if anybody wants to— yeah. ,,
,I," So, um, at some point I do want to return to this question of genealogy and  your interest in history and, um, because I do think it’s, you know, uh, it’s an important part of your trajectory, right, as a Chicana, and your history. And I want to ask you— I guess maybe we’ll just go along this route for a little bit, the history route. ",,
,R," Alright, and then do you want to interrupt me? ",,
,I/R, (Laugh),,
,I," So if you think about your trajectory as a student and later as a professor, um, when did you first become interested in genealogy in particular? Because you have a lot of writing in genealogy, a lot of writing. And you’ve gone back and traced that history and the complexities of it. ",,
,R," Yes, yes, and one of the essays that I wrote was about my great grandparents but when I turned it in they said, “We’re not really interested in your great grandparents.” And, I said, “Okay.” And I took a look at that and I said these were the first mestizos. It was gonna be a mestizo nation. It was supposed to be Spanish and English and it wasn’t. And you can trace it back. When you trace back the genealogy you can see the men were speaking Spanish. And then they made sure that the invasion was bigger than just a physical invasion and a multicultural society. Pretty soon it was making sure that all the books were in English, the history was in English, that it was about the English and it was about the US, but, uh, ask me the question again ‘cause it just went away really briefly. ",,
,I," I’m just curious, um, in your trajectory as an intellectual and a scholar and a teacher when you first became interested in genealogy. And, you know, you started with, what’s intriguing to me is— Antonia Cantañada same to you— is when you were much younger, just beginning, um, you know, interviewing your family. Um, you know, interview your family which is basically what genealogy is. So, when did you come to the awareness that that was what was really going to be your passion as a scholar?",,
,R," I— much later, unfortunately. But I attribute it to, always, to Antonia. Because Antonia influenced me so much. And even though I’m older than she, she’s kind of a mentor  because she is, she was a graduate student in history and I was coming in late as a pre-entry mother with two little kids. ",,
,I, And this was in what years? ,,
,R," In 1970. So, yeah. In 1970. And she— nobody really talked to me, but Antonia did. And she talked to me about who we were, why we were there, and how important it was. Otherwise, I would have just gone through and gotten my degree and left. I didn’t know what to do. But, there were people there that were active. And they didn’t care if you didn’t have any consciousness or not. They were about raising consciousness. ",,
,"So I’ve always said that to my students. If somebody says something in class and everyone laughs or something like that, none of us really had consciousness until we got it or until somebody said something to us. But I really credit Antonia for that and other women who have reached out to other women and I think what I see today is I see the connection that I didn’t see then between those of us that were working, that were students at Stanford and the ones that were students at San Diego State. Here we were really doing the same work, and we just didn’t know it. We hadn’t met yet is the way I like to put it. And so the Las Chicanas that were doing their work here at San Diego State, we were doing similar similar struggles and similar things where we were and we came together eventually. ",,,
,"We were all in the same movimiento chicana. So I just wanted to say that. But to answer your question about how I got involved with that, I always wanted to do research. And one day there was a NAACS conference that I went to. I’m seeing Ricardo Sanchez there, so it must have been about 1990. And, uh, I remember the Matachines from New Mexico. And I said, “Oh my god, that’s where my parents were from!” Bernalillo New Mexico. And they were talking— it was Tijerina, was just coming out and talking about the land grant issues and I said, oh my God my parents told us that we were part of the land grant as well and I want to know more about it. So I went up to all of these people on stage and I said, “Do you know my father? Do you know my grandfather?” And of course nobody did. They left there in 1900. (laughs) So, anyway, they didn’t know. But I’ve always been on this “Who Am I” search. Who is my mother? Who is my father? Who’s my grandfather? ",,,
,There’s a book about it. And they had this b— my parents had this box of pictures and it was always like under their bed. And they would go to the movies and I would go in their room and I would pull out the box of pictures and I would start looking at all these faces. And I was just absolutely fascinated that there was this world of people out there and I didn’t know anything about them. Didn’t know who they were. ,,,
,My father couldn’t talk about it. It was so painful that his mother died when he was fourteen years old and that they were all left. And four years later his father was killed in a railroad accident. And so at nineteen he was the oldest one. And so they were just completely orphaned at that age. And they all took care of each other so they all remained nuevomexicanos (laughs) you know. Trying to preserve their identity and culture.,,,
,I, And they were in San Bernardino.,,
,R," And they were in San Bernardino. And my father— my grandfather— had refused to go back to Bernalillo because, um, my grandmother’s sister didn’t marry him. So, go figure. ",,
,I, Did he get married? Ever? ,,
,R," Um, there’s a little story that he ended up with a woman that was helping take care of the kids, that they got together. Now, whether they got married or not I don’t know. But as far as— if saying that in our family— we weren’t ever allowed to say anything like that (laughs). So for me to say it on tape is kind of shocking now. ",,
,I, (Laughs),,
,R," But I always wondered who we were. And I felt kind of different and I didn’t know who we were. And I always wanted to know, “Why do we do this mamá? Nobody else does it.” Like, my mother raised us Catholic and they were so— she was so faithful. So how could I ever go against the village that I was raised in because my mother was the kindest, most loving, most generous, most giving woman I’ve ever met in my life. And my— people used to tell me, “Who is your mother? I’ve never met anyone like your mother before. She’s like a saint.” ",,
,"And she wasn’t a saint, you know, in terms of proselytizing about the church. She was not— I asked her once, I said mamá, “How com you’re always giving food to the poor?” And she said, “My mother would not eat anything unless she put a plate outside the door.” In Las Cruces when she was growing up. And I was like, okay and I— I don’t think that was passed on to me as much but my mother was amazing. ",,,
,"So, I was raised in the church. Um, very strongly. My father didn’t go to church (laughs) I guess that’s traditional. And I wanted to know who we were. So I started writing letters to New Mexico. I’d write ‘em to uh, you—whatever sources you have as community sources. Civil offices or libraries. I heard that the library knew a lot of history so I wrote a letter to the library, never got an answer. So, to answer your question, when Richard said do you want to go to this little podunk town called Doña Ana I went there and while he was in the conference I met this woman who was the head of the library and I told her about my family and she said, “Well let’s see what we can find.” ",,,
,"Went to the lower—searched, searched, searched, searched, couldn’t find anything. She said, “There’s a whole Coleman-Cruz family in New Mexico that’s called, um, well, Coleman Cruz and they are from Colorado.” And I said, “No, that’s not us. We’re not from Colorado.” Well, I got home a few weeks later, I get this big package in the mail and it says your family is from Colorado but it’s not from Colorado the state, it’s Colorado, New Mexico. It was— my great grandfather was from a little town called Colorado and when the US came down they called it Roadie, which means “rad” or “ready” or something like that. ",,,
,"But they americanized Colorado and called it “Roadie.” And so, that’s how I found my ancestry and I couldn’t stop after that. I started searching and, um, one of the ancestries is and— um, that’s because of Richard inviting me, by the way (laughs). Richard inviting me to go to New Mexico. And then the other story is that um, um, I was— I met the cousins. ",,,
,"So once I found out that we were from this little town called Roadie I met this Coleman cousin and we talked on the phone and he said, “You know, our great grandfather knew Cochise.” And so guess what I said in my head? “Yeah, sure.” (Laughs). So I thought it was just a funny story and I didn’t follow up on it. So, eventually I started looking in the old papers of— they had newspapers in the 1800s in Las Cruces and the area there. So I started looking at the old newspapers. We went to the library and I asked for Richard to help me. And he said, “Okay.” So he went and he said, “I looked in all the newspapers and I couldn’t find anything.” And I know that I’m one of these people that has to go like, chu-chu-chu, step-by-step and no stone unturned (laughs) so I actually went back and re-did  what he did and when I did I found my great grandfather. And it was an amazing story. He actually met the Apache Chief Cochise and they went camping together. What!",,,
,I— when my kids got home I said I didn’t  believe a word he said ‘cause he got it through oral history. So I searched further and ten years after that there was a peace talk between Cochise and the US soldiers and they invited my great grandfather to go along because he was a soldier in the US Army. And he— they knew he knew Cochise ten years ago. ,,,
,"So when they went to meet— there’s a blow-by-blow description in 1870, uh, newspaper called The Border, The Las Cruces Border, and the whole story is there. And I was just amazed when I read it. I mean, almost cried. Well, I did cry (laughs). I brought it home to my kids, they were in high school then, and I said, “Look at this.” And we read it together and I said, “Your great, great, great grandfather knew Cochise, the Apache chief.” (Laughs) So that’s the title of the book that I first wrote. And the way that I did that is my sister was working for the um, uh, she was working as a community, um, what do you call that when they— a publications officer or something— when they have to go meet people, invited them and that sort of thing. Sorry, I can’t—  my sister is Mary Sanchez. She actually started a newspaper called Aztlán in a college in, uh, near San Bernardino. And, uh, she did that about the same time that I wrote the paper on Cochise. ",,,
,"But, I really attribute everything to my sisters. I have no reason to even be here (laughs) doing any of this. My sisters were really the scholars. I— I’m not so much. They are the ones. They paved the way, my older sisters. And then I have two younger sisters as well, they’re amazing. But, um, my sister Mary was a journalist and she worked for the San Bernardino Sun Telegram. She’s an award-winning journalist, actually. And, uh, she says, “Don’t talk about me, talk about yourself.” (Laughs) That’s what she always tells me, so that’s what she’d be saying right now. ",,,
,"But my sister is, she was Girls State. I don’t know if you know about that but Girls State is, um, in the 1950s they took two, two girls out of every high school in California and sent them to Sacramento for a leadership conference and my sister was one of the two at San Bernardino High School in 1953. So she went to the leadership conference and at the leadership conference she was the journalist that did the newsletter, so that’s history. ",,,
,"So it’s Chicana History. They don’t use that term, but I was the one that was involved in the Chicano/Chicana Movement. But they’re my predecessors and they’re the ones that did everything. She— when I went to high school and I didn’t know what to major in and I just said, “Well, I guess I’ll major in journalism ‘cause that’s what my sister majored in.” (Laughs) So they were the ones that did the leg work. And then my sister, Teresa, she was in the choir and my parents couldn’t afford music lessons for all of us so they gave them to my sister Teresa, who played the violin. And she was in choir and orchestra. And so, she— I was in choir because my sister Teresa was in choir (laughs). And my sister Josephine came home reciting the Preamble to the US Constitution. She’s my oldest sister. Um, she’s 85 now. She’s the class of ’49 I think. ",,,
,I," Well, you know, you, in the mean time they were doing all of these things and you were under your parents’ bed pulling out those photographs. ",,
,R, That’s right! (Laughs).,,
,I, You too were in training.,,
,R, (Laughing) exactly!,,
,I," So, I’m curious about this— it is unusual for children that age to be interested in the history in that way. To have that spark and—.",,
,R, Mmhmm. ,,
,I," So, I’m wondering if you can recall your time in high school and coming up to young adulthood, um, where you went to college and all of that stuff, and, and you know, sort of what your experiences were during that time. ",,
,R, Yeah. ,,
,I," I imagine it would be, it would have been the early to mid sixties, probably? ",,
,R, No. (Laughs),,
,I, (Laughs),,
,R," Older than that. My daughter’s gave me a 75th birthday party last year and they said, “Momma—” I said, “How could you do this to me?” And they said, “Momma, the jig’s up. Everyone’s gonna know it now. You’re 75 years old and get over it!” (Laughs) But anyway, yeah, I did look at those pictures and long for something, some connection in my life to my ancestors and, uh, yeah, and then in high school I, I was gonna say something. It might pop back in. I’ll just leap to high school then. ",,
,"Because of my sisters, as you say, I majored in journalism in high school. So I became and editor of The Weekly. They put out a weekly at San Bernardino High School. So, talk about Mexican Americans involved in a mixed community and it’s all run by anglos at the time. Well, uh, my sister was one of the forerunners and she was the first, uh, person to go to Girl State, as far as I know. Maybe there were people before her, I don’t remember. But, um, I joined the newspaper and so I became the editor of the weekly— Tyro Weekly. We published a newspaper every week. So I became, in my senior year I became the assistant editor of the newspaper and, uh, acting editor at one time when the editor was gone. And we had to put out the paper. And I just did it on my bed. We didn’t have a desk. So I put it— laid it out on my bed. We didn’t have computers, of course, in those days. And I felt like I had this sort of artistic talent to do it, to make the right choices about type and layout and photos. And that sort of thing. ",,,
,"And, um, we had to, uh, interview people and we had to gather the news. I remember one year the, um, student council, which was mostly all white, I’m pretty sure— I’m trying to remember if I was on the student council, um, or not. But one year they were gonna have a dance and they were gonna announce the winners of the election at the dance. And everybody said well you have the election results now you need to give us the election results. And they said, “No. We’re gonna have it at the dance.” So the kids that were putting on the dance were keeping the election results. ",,,
,"So, I don’t know how I did this, (laughs) it was my big scoop. But I don’t know how I did it but I got the election results from somewhere, but I got the official election results. So I published them in the newspaper. And they came out as front page news in the Tyro Weekly. And the students were so upset because they had promised everybody they were gonna announce it at the dance. Well, we didn’t go to dances. Our parents wouldn’t let us go to dances so we weren’t gonna go to any dances. And there was only gonna be an exclusive group, and mostly, maybe the anglo kids, I don’t know, I can’t remember how it was. If it was that discriminated then. I’ll have to think about that a little bit. But that was one of the things that, that, uh happened.",,,
,I, You’re a radical! A radical journalist.,,
,R," (Laughs) I guess it starts out being that way, you know, now that you think about it. And then people— you know when they said that you’re an activist, I thought, well you’re not really an activist, you know, but you are an activist. Because what you did to make something right is being an activist, I guess. So that’s the way to look at it. ",,
,I," And had you already, this— so when you graduated from high school were you already planning to go to college? ",,
,R," I, I attribute going to college to the fact that I saw all the girlfriends that I had— a lot of the girlfriends that I had— anglo girlfriends going to college. And they’re all getting ready to go to college and I’m like, “Hey! How come I’m not going to college? I have good grades, why am I not going to college?” And so one of my girlfriends said that she had gone to her counselor ‘cause she didn’t like her history course. It was too difficult. She wanted to change to another class. So I was in the academic program too, so I go to a counselor. I thought, “Oh, you can go to a counselor?” I didn’t even know you could go to a counselor. So I go to a counselor and I say I want to go to college and I want to see what courses I’m taking. And she says, “You’re in the wrong place.” ",,
,"And I said, “Well, why?” And she said, “Well, you’re not gonna go to college.” And I said, “Well, I want to go to college and my girlfriends are going to college.” And she said, “ Well how are you gonna go to college? You don’t have any money. Costs a lot of money to go to college. Your parents are poor people and they can’t send you to college.” And I said, “Okay.” And I was seventeen or eighteen, seventeen or eighteen at the time. ",,,
,"So, she told me I couldn’t go to college. She changed my major. She said, “You really shouldn’t be in this course. You should be in this secretarial course.” And so she changed me to the secretarial course. And I remember being in that secretarial course and it was about typing and it was about trying to take shorthand and it was— and I was thinking differently. I was— you had asked me where it first began and I was gonna say it was with my mother and sister— sisters. Because when I was little, we didn’t have toys. We didn’t have a lot of things or a lot of food. We basically ate beans and rice ‘cause my father was a hard worker. He worked for the railroad as well, as I recall. And other places. And my mother had— we were eleven kids. So I was seventh of eleven. ",,,
,"And we were poor. I mean, we had to take our shoes off when we got home from school because my father was afraid they’d get worn off ‘cause we’d go outside and play jump rope. In the summer, no shoes! You did not wear any shoes in the summer time (laughing). ",,,
,I, You gotta save ‘em! ,,
,R," You gotta save ‘em. So that was us. So, Christmas, we didn’t get gifts. We had the most rich, beautiful Christmas because of my mother. She made empanadas, she put the tree up, she— um, my sisters put the tree up. My mother basically— we didn’t really have that tradition of the tree. My mother— it was about midnight mass. We went to midnight mass. And it was all about going to mass, walking with my sisters to confession on Saturday (laughing), uh, you know, it was— we were kind of a tight family. ",,
,I, Did you have a nacimiento? Did she do a manger scene? ,,
,R," We had a— yes. But not in the artistic— everything was very simplified with my mother because she had to work work work to get the next meal on the table three times a day so (laughs), so um, yeah. My mother— I look back on the incredible memories my mother made for us because we built up to getting ready for midnight mass. We got all— polished our shoes we got our clothes ready, um, we went to midnight mass, we came home, and she made empanadas. So its midnight! She’s in there making empanadas. And she’s not complaining. She never complained at all, in her whole life. And she did it for us! Oh, it was beautiful. I loved my growing up. It was, it was pretty cool. ",,
,I," So, Rita, you were just telling us about your Christmases which were full of food and tradition, but not so much full of gifts. ",,
,R," Yeah, I asked my uncle about that. I said, “Did you exchange gifts? Did you have trees?” And he said, “No but we went to somebody’s house.” He said, “We took food to them and when we came back, we took armfuls of food away.” He said, “We shared the food that we made.” And he said it was very festive. That was New Mexico and my mother brought those traditions with her. And our Christmases— we didn’t have a lot of gifts but I don’t remember ever having a sad Christmas. And I remember, one time, my dad’s friend, he called him “Chris” he was an anglo guy, his name was Chris Stubenville.  He helped our family a whole bunch. But anyway, I won’t get off on that story. I, I guess what I want to say is he brought a piggy bank that he had put money in all year and gave it to us as a Christmas gift. ",,
,"And when we broke the piggy bank we counted it up to be a hundred dollars. And we were just amazed. We had never seen that much money before. Well, when we went to go shopping, I was just a little kid then, I was only five or less. And my sisters were the ones I observed doing all this. When they went shopping they took me along. They sort of dragged me along, wishing they didn’t have to, probably. And they said each person gets a gift but we only have nine dollars for each person or less for that. So, uh, I got a book. Oh, when I opened it up it was just magical because my mother’s mother taught her to read when she was a little kid for the Sisters of Loretto. ",,,
,"She taught us to read at a very young age. We started reading when we were four and that’s all we did because we had to be quiet, because there were so many kids in the house. Because we didn’t have any toys, so we had to each read a book and we had to— that’s how I started reading. So, yeah. ",,,
,,,,
,,,,
,I, That’s a wonderful Christmas story. Thank you for sharing it with us.,,
