timestamp,speaker,words,tags
,SL,"  Somehow I, with the friends of mine, we ended up going to a community college and I think I started with a group of about ten or so of my friends and I think by the first semester most of them had dropped out. Uh, maybe by the second semester most of them had married, and I think of the crowd— I probably was the only one that was left that somehow I ended up finishing the community college because I had it in my mind that I was, you know, I wanted to be a teacher. And I think I wanted to be a teacher because I had had such a horrible experience in coming into the United States, uh, feeling, uh, it was like I felt I was an invisible child when I was in school. Uh, because I survived high school, I don’t know how I survived high school, I don’t even know how I survived the community college because I felt I didn’t have, you know, the skills, but I did. Anyway, I ended up coming into San Diego State through the EOP program. Uh I think at that time there was a man in Calexico, he was one of the— this is the time— this is in 1965, 1966— this is when you have the Civil Rights era beginning and you have, you know, Chávez beginning to come into the Imperial Valley, so you have a lot of political awakening of the mexicanos, of the mexicanos in the Imperial Valley and people in Calexico, in particular, started getting involved. And you have people like, uh, my girlfriend’s brother that had ended up in Stanford and you would get pieces here and there and somehow we ended up getting recruited by the EOP program at San Diego State.",
,SL,"  So, I ended up coming to San Diego State in 1968. Uh, and in 1968, I remember when I came to San Diego State, you know, I’d be walking on campus and there was, like, black people that were saying, “Join the Black Panthers,” and it was Civil Rights but it was a black. It was all about the black people in San Diego. Uh, I remember going— I was very interested, and at the same time, I didn’t think I was gonna survive San Diego State the first semester. I went through a complete culture shock. I mean, I just, like, uh, I, if I saw another mexicano I would walk to them and I would start speaking Spanish and the would look at me and I’m like, “You don’t speak Spanish?” And they’d go, “No, I don’t speak Spanish.” And to me that was, like, a shock. I had never been exposed to being on— I had really never left the Imperial Valley. I didn’t know what the world was about. I didn't know that you had mexicanos that didn’t speak Spanish. And, so, you know, it was like a shock. And I remember when I started looking for an apartment in San Diego, uh, one man asked me, he goes, “What are you?” And I go, “What do you mean what am I?” I go, “I’m Mexican.” And they go, “Oh, you don’t look like one of them.” And I go, “What do you mean ‘I don’t look like one of them?’” And they go, “Well, you don't have, you know, your eyebrows with a pencil and you don’t have your tattoos.” You know, so that was like some of the shock that I went [through]. And the other shocks that I went through is that I would walk into a classroom and there was, like, nobody that looked like myself. And I was, if you can believe it, I was the kind of person that if you looked at me, I would turn red. That was how quiet and shy I was. I mean, I was like—. ",
,SL,"  So, when I came to San Diego, I didn’t think I was gonna make it. I don’t know how I ended up— I think it must have taken me all day to register for classes. I didn’t know what I was registering for, um, with one of my roommates that I still talk to, you know, I talk to her and I go, “How did we get through? How did we get through?” Anyway, to make the long story short, after about— I would say, after the year was over, my first semester I got on academic probation. Uh, the second semester I didn’t know whether I was gonna make it, but I guess in my mind I knew that I was gonna make it. This is when I started— first semester I started getting involved with, you know, MEChA, you know, a lot of things that were going on at that time. Like I said, I was curious because you would walk through campus and it was about the black people and then chicanos had MAYA at that time and they started asking us to go to meetings and we started going, you know, we started listening and volunteering. But, of course, we were the nice, quiet, very conservative young ladies and, so, we were the ones that ended up taking the notes. “Oh, can you, can you make the calls?” “Yes, we can make the calls.” So we— because we were playing what was considered our roles. ",
,SL,"  Um, but at the same time this is when we started noticing a lot of the BS that was going on. Because you always had guys trying to hit you up, you know, especially like the older guys and we were— when I— I think it was the second year, the second year, ’69, that I was at State, we had, um, we had the CAMP program, uh, we had the PINTO program, you had all these, you know, men that had come out of prison, and they were like older than us. I mean, some of these guys were 25, they were 30. And these— you know, some of the guys that we were being exposed to that were involved with MEChA or what have you, and then you had the CAMP program, then you had the HEP program. The HEP program was the High School Equivalency Program and what they did was they brought in people that had dropped out of school, put them in the college, had them finish their high school, and transition them into the college. So, you know, you talk about a mix of people that were— we were all coming in from very different, you know, walks of life. I mean, I felt— it was funny because I could spot a chicana that came from LA in one minute. You know, she had the shoes, she had the dress, she had— you know? And at the meetings we used to have a lot— not competition but you know, the guys would salivate when they’d see these women, right? And we would call ‘em on it and they go, “Oh, just because you guys are jealous,” or, you know, we came— we were farm workers. ",
,"I mean, we were very poor. We couldn't afford what they could afford. Maybe, you know, in LA in the garment district you could have discounts or whatever, but we didn’t even go over there. So our— we dressed in our Levi’s, you know, our Levi's shirt, and that’s how we lived, that’s how we lived. But, yet, the women from LA, they were very different. They were very different, I mean, you know, they dyed their hair, they had the false eyelashes, I mean, you know, when they came to school you thought they were going to the prom or they were going to the dance or whatever. And like I said, it wasn’t about jealousy but just the differences were so, you know, obvious, you know you couldn’t help it. And, so, at meetings and things like that those were some of the things that, those politics, I think, used to come into the discussions without people even realizing it; because sometimes, like, the woman that was gonna go speak in front of everybody that got elected by the group was the one that, you know, had the real tight pants and looked very cutesy and all that. But at that time we couldn’t put our finger on it, you know, we couldn't really understand, you know, what was going on. ",,
,SL,"  Anyway, I ended up getting up very involved, uh, which was a blessing and it was a curse. It was a curse because I didn’t realize that I was going through this tremendous transition in my life and I had no control of it. I had no control of it, you know, it was happening and it was happening so fast that it happened and I didn’t realize that it had happened. Um, I had come to San Diego State with the focus that I was gonna come here, come a couple of years, become a teacher, get married, and go back to Calexico and help my family. My family was very poor. What ended up happening was I came to San Diego, I came to an environment that shocked me, that alienated me, that almost destroyed me, but I don’t know how and why it didn’t happen. I became what I felt was almost a political animal because I became the kind of person that I was in meetings 24 hours a day, uh, you know, I, I, I go to meetings, after I meeting I go to another meeting, uh, I go to school, uh, weekends, uh, I travel some place in the State of California. Uh, by my second year, by my second year, um, I knew that if I stayed in San Diego I would not graduate from college. ",
,"And, I saw the writing on the wall and I had connected with some people up in Sacramento. R","This is, this is, during this— I met Ana Nieto in ’68, I met Dorinda Moreno in ’68, uh, like I said, I was, along with Keta Chávez, uh, that’s what we did. We were in politics. Our whole life we were, you know, part of MEChA, uh, helped develop chicano studies, the Department of Chicano Studies, we had what is called a mesa directiva and the mesa directiva had, you know, MEChA representation, students representing MEChA, we had, uh, people representing the, uh, Mexican American Studies which is the, the chicana/chicano studies now, we had the Centro, uh, which was the library where people would check out books. We had developed some community programs and Escuelita had been started in the barrio. Um, the Barrio Station had been initiated, um, so somehow as women we didn’t think that we had to stay in our traditional role. Like I said, things happened so fast that we didn’t realize what was happening with us at that time. ",
,SL,"  Uh, we did talk a lot about being a part of the white women’s movement because everybody stayed away from that, like, big time. Nobody wanted to discuss what a feminist was, nobody wanted to talk about women’s liberation because that was, like, if you discussed that you’re not a real chicana, okay? And you’re a traitor, you’re a malinche, you know, all these— so we were becoming feminist but not saying that we were becoming feminist. We were becoming very political but we weren’t given the right or the space to say, “I’m a political chicana.” All we could say was, “I’m a chicana.” And a chicana meant being a hard stone nationalist. That’s what it meant. And being a hard stone nationalist meant that you had to be the mujer, the traditional role, you know, that catered to the men, that did what the men wanted, and if you didn’t, then you were..how shall— what did they brand us at that time? Ah, “vendida.” You were a vendida at that time. And if you, if you became, like, like with me I felt— I became— I got into the leadership; not really saying, “Hey, you know what? I’m gonna be a leader,” it just kind of happened. And then because I was outspoken, que no me dejaba, uh, you know, I was talking to— who was I talking to the other day? Oh, I was talking— no. A couple of years ago, maybe last year, I met up with Alurista and, you know, we were talking and he told me, “Well, how are you Sonia? Do you have children?” And I go, “Yeah, I have children,” and, you know, he looked surprised and I go, “Why are you surprised?” And he goes, “Well, I always thought you were a lesbian.” I go, “Oh, so, all the time that you knew me as a student back in the day you always thought—.” “Yeah,” he goes, “I assumed that you always were a lesbian.” And I go, “No, I wasn’t,” I go— but, you know, I had— I was involved with women that were gay because either they were my students or because they were my friends. ",
,SL,"  Uh, because at that time being— if you were gay, if you were a lesbian, especially a mexicana, of course you would not expose yourself because, I mean, even in the cultural sayings, right, uh, when you wanna put somebody down, when you want to put a man down you say, “Ay, pues parece maricón. Parece maricón,” you know? And in the slang Mexican culture a “maricón” is, you know, a man that’s gay. So, anything having to do with being gay or being lesbian in the Mexican culture is a put-down, and I happened— because of the person I was, I would have my students or my friends let me know that they were gay and I did see the pain and the sorrow that that caused. And, so, I always bonded or worked with, with a lot of women. ",
,SL,"  In 1970, in 1970 I ended up having— I made a conscious decision to leave San Diego. I made a conscious decision to leave San Diego because I knew that if I stayed here I would not graduate from— because my whole life was around my politics, and my schoolwork or being a student was secondary. Uh, at that time we were not only having MEChA meetings and organizing around different issues with MEChA, whether it was trying to get chicanos elected to the ASB because we had ne representation in the ASB, uh, or was it, uh, you know, working around— my brother was involved with some of the white radicals or some of the— some of the other leftist organizations on campus in getting a newspaper called Inside the Beast, uh, we had the newspaper, you know, La Verdad, we had people working on the boycott, uh, many of the people in MEChA were also working with the white radicals that were staging, like, sit-ins in the railroads where they were, you know, transporting the arms or bringing in the arms to ship ‘em off from here, from San Diego, to Vietnam. You know, we’re in a military town. So, being in San Diego was, how shall I say, very tough because this is a military town. This is a military town. And you felt the, uh, the scorn and you felt the discrimination in terms of either the boycott or just us forming a space at San Diego State. We were not able to get any monies from the ASB Council, from the University, unless we did it by force. We, we became— I mean, who would ever think that people like me would not be afraid to get arrested or have— be tear gassed. ",
,SL,"  You know, like, I keep saying it"," we were being transformed because of our environment, because we understood in a very, uh, closed way, because we still didn’t have, you know, the whole picture, uh, when we started coming together as students, faculty, administrators at San Diego State around ’68, ’69. Somebody was talking about having those meetings all day Saturday and all day Sunday,  and it was true, it was true. We would, you know, get up on a Saturday and we would come to somebody’s house like this and we sat around and we figured out what MEChA was gonna do for the next couple of months, what chicano studies was gonna be like, how we were gonna get money. You know, I mean we were planning and, and we— but at that time we were inspired that we were chicanos, we were mexicanos, we were— oh, I realised, “Hey, I’m okay. I’m okay. I can be proud that I’m a mexicana, but I’m not a mexicana.” I knew that because whenever I go to México, “You don’t speak good Spanish.” You know, “You can’t even pronounce your, your family’s last name correctly. You don’t know how to read. You don’t know how to write,” getting that discrimination. So I knew when I was growing up, yeah, I was a mexicana because my family told me, but I didn’t feel welcome, I didn’t feel wanted in the culture. And in the same token I didn’t feel wanted or welcome here and with the Chicano Movement, you know, that, that defining your own identity is what I think made us understand who we were. And then, of course, came the what I call a “chingasos.” …Oh, I shouldn’t cuss? "
,MC,"  Oh, no, no, no, no, the interview’s over (laughs). ",
,[Tape cuts], ,
,SL,"  I was a little bit, I was about two years older than Felicitas and Keta. They came straight from high school into the dorms. I came in as a transfer student. I was a little bit older. I don’t know [about] a little bit wiser, but I was, you know, a little bit older and I almost in a lot of ways played the older sister, you know, in a lot of my relationships with a lot of the women; and even in the organization, and that was good, uh, in a certain way but in another way— but, you know, when you’re young you’re not gonna listen to anybody, right? Especially you’re younger sister or whatever. My sister also, you know, came in the dorms, yeah. She was also there in the dorms. ",
,MC,  Okay. ,
,SL,  Go ahead. ,
,MC,"  Yeah, I was gonna ask you if you had gone to the conference, the youth conference, and you were telling me you didn’t go to the ’69 conference in Denver. ",
,SL,"  Yeah, I, you know, like I said it was second semester, uh, the second semester of— and I was on academic probation and I chose not to go, I chose not to go because at that point either I stayed in college or I flunked out. And I hadn’t worked this hard to flunk out; you know, that was the bottom line. And I had the sense enough to understand that I had to begin to pull back and that’s when I— I had met some people from Sacramento and they had told me about a program and I got in the program because of who I was, because I was in politics. Uh, at that point I was traveling up and down the state with CHE, Chicano Higher Education, and those were the people that we would meet statewide to talk about developing, uh, chicano studies, a department of chicano studies. Uh, what was it all about, uh, you know, what do we do with it, uh, you know, it was a process, a very long process. So I knew people up and down the state. So, when I decided to leave I was fortunate enough that I had the contacts to go wherever in the state that I could go, and I ended up in Sacramento only because they gave me a full scholarship. They gave me a full scholarship with books, board, but not only that, I could travel anywhere I wanted. And, so, the guy that was in charge of the program, uh, you know, liked me enough as a person because I think he had respect for what I was doing, that I was so young and here I was in politics that I would go, “Hey, you know, I need to go to a meeting in LA,” or, “I need to go to a meeting in San Francisco,” and he goes, “Yeah, you know what? Here. Here’s the ticket for you to go.” ",
,"So, in my lifetime or in my— I was fortunate enough that I connected with people that, even though I didn’t have a dime to my name I was able to get around and just do all of these amazing things that I ended up doing, uh, when I was at, at, when I was— when I had barely come to San Diego and started getting involved with MEChA. That’s how I connected with women at City College, San Diego City College, and there was a group of women there and a strong MEChA that they were doing a lot of things in the community. And, somehow, I ended up connecting with them because, again, of my politics and we ended up having one of the first chicana conferences in San Diego, and did we know what we were doing? I don’t know if we knew what we were doing but we, you know, we had a great conference. We had a great conference, and in this conference we had people that were stone nationalist, you know, I mean— I’m gonna share those pictures and those agendas with you— that it was about being a chicana and then somehow we recruited people from East LA that were stone Marxist, okay? And I, I ended up, like I said, I ended up leaving to Sacramento because I knew that I would not survive academically. I left. ",,
,"When I came back, I came back as a professor of chicano studies. I taught introduction classes, I taught organizing classes, and I taught the chicana class. And part of that, all those classes, my role was to connect the students to the community. And, so, part of the assignments that I used to do for my students was, “Okay, these are the different things that you can do out in the community.” You know, “You can work in the schools, you know, you can do tutoring, uh, you can do counseling, or you can go work with chicano rights organizing.” We were, uh— because as students we had been connected with a community, we were connected to all these different organizations in the community that we could just plug in the students and then they, in turn, would bring in more people. So, we had a very strong connection with the community and everybody felt we were all in it together, okay? ",,
,"Uh, but what ended up happening was that I think you had— as we got bigger, as we recruited more people and more students came in and more faculty came in and, uh, San Diego was, like, this was— it was happening here. Uh, you had a lot of groups from LA and from San Francisco come in. You had people from the Communist Party, you know, come here, participate in some of our meetings. We didn’t know they were communist, you know? And this was about the time that we started questioning a lot of the ideology of nationalism, especially with the women, uh, because as a student— we started as a big group of women that came in through the EOP program, and by the end of the year there was very few left, very few left. And then chicanas would come in and then they were gone in a couple of months or, I mean, in a year. I mean, they weren't staying in school, they weren’t graduating. It was true overall of chicanos, but, of course, more so of the women. And you're trying to figure out what was going on. Well, what was going on? Well, it was real obvious to a lot of us that started meeting in groups and started organizing. Well, it was very obviouSL","  a lot of sexual exploitation was going on, you know? A lot of the leadership was, in fact, taking advantage of the young women that, they were innocent. I mean, they didn’t— not all of them, of course, but that was certainly going on. Uh, in the, uh, in the roles of the organization, uh, you know, women were regulated. You know, “You’re the secretaries, you’re the cooks,” and that’s the way it was at the meetings. ",
,"Uh, I mean, we started voicing our discontent and people started getting pretty upset with us and we were— a lot of us were blackballed. Uh, by the time I left, I left in ’70, I was certainly blackballed. I was a target. And, uh, I ended up in Sacramento thinking, “Okay, I’m gonna go over there and just finish my education,” right? So, when I went over there I, uh, I tried not to get involved because it was all about school, right? I was gonna do my teacher-training program. It was the first bilingual bicultural teacher training program in the nation, and I went to school with a lot of people from Texas, as a matter of fact. A lot of people from Texas came; they recruited. So, here I was with a lot of, um, I always felt I ended up with all of these very intelligent people that had a lot on the ball and, you know, I was not a good student in high school. Maybe I was a “C” student. You know, I don’t know how I graduated but I did. So, I always felt— “I always end up with all these smart people,” and, “What am I doing here?” And, so, when I went to Sacramento I felt the same way and I go, “Okay, I’m gonna focus on my studies,” or whatever. ",,
,"But somehow I always ended up in classes with people that were like, “Hey, you know, it’s about the politics. It’s about what’s going on.” I ended up— one of my mentors in Sacramento became my political science teacher and he was a chicano that after I left he became mayor of Sacramento and he, uh, he served, I don’t know, maybe three or four terms, yeah. Joe Serna, Joe Serna was his name and he would, uh, he would always challenge me in the classes and then I ended up joining, uh, I became a performer. I joined a teatro. I joined— there was a teatro that was formed by José Montoya ,The Jalapeños, and I became part of that group and we would perform at different functions. We would perform some of Octavio Paz’s pieces. And, so, I, I struggled with the fact of finishing my education but at the same time being in the politics and doing what needed to be done, whether it was here in San Diego or it was in Sacramento. ",,
,"In Sacramento I, uh, I ended up getting involved in, like, as part of the things that we were training, like doing breakfast programs at the, uh, at the elementary schools, you know, uh, doing tutoring. We ended up organizing in Sacramento to get a center there. It’s still there. Uh, having art classes in the community, I mean, you name it. Uh, uh, going to the prisons, you know, to teach chicano studies, to do different things, and I ended up, I ended up leaving Sacramento State, graduating, because my family was having a lot of problems in Imperial Valley. I grew up— my father was an alcoholic. And, so, I grew up in a, in a family where alcoholism was very accepted because in the neighborhood that we lived [in], almost everybody was an alcoholic. It was, like, part of the program. If you, among farm workers, I mean, I think people don’t really want to talk about it, but alcoholism is, you know, almost part of poverty? Uh, I don’t know. I don’t know. It’s a way to deal with the pain and the hard work. ",,
,"So, you know, to me in Calexico, the abuse of women that I grew up with and the alcoholism, it was like you accepted it because you lived with it but in my mind I knew that it was not right. So I think as I moved through my journey, you know, something always told me, you know, “I’m not, I’m not going to go back to what I’m supposed to be or be a product of  what my environment was gonna regulate me to.” So, I fought that, you know, very, very hard all throughout college, you know, to the point where I was, I was engaged to get married when I started San Diego State and, of course, I got involved in the Anti-War Movement because, you know, we had so many chicanos that were being killed in Vietnam. But, yet, my fiancé was a, you know, he was in Vietnam. And, so, when he came back in ’69 and wanted to marry me, you know, he had become a Green Beret, I think, in Vietnam, and these were, like, trained killers, right? And he was, he was very proud of the fact that, you know, he had killed so many Vietnamese. And to me that was, like, there’s no way I can marry you. There’s— you know, we had moved in different times and in different spaces. I had gotten politicized but he had, you know, gone to war and, so, when he came back I, uh, I broke my engagement, you know, with him. And that was ver— it was hard on my mom. ‘Cause she goes, “Ay, what’s gonna happen to you?” You know, “You’re not gonna have a man take care of you.” You know, that. So, she was very sad that I didn’t get married because she was planning the wedding and, you know, everybody was planning the wedding and I was like, “I don’t think so,” you know? ",,
,"So, I left Sacramento and I ended up in Calexico because one of my brothers who had become a heroin addict, you know, had, uh, been having a lot of, uh, problems. He had gotten arrested, he had been on the run, uh, and, again, uh, it was, it was, like, no big thing because in Calexico drug addiction is horrendous. Uh, at one point, I don’t know how many years ago but one time I remember reading an article on Calexico that it had the highest per capita heroin addict per population, something like that. Yeah, it was, like, it came out, I remember— I think I saved that article. But it was— and, so, it was— we knew— you know, these were some of the issues that we were getting involved in the movement but at the same time it was normal because, you know, it was part of growing up with, uh—. ",,
,"Anyway, uh, at that point what my professors, some of my professors, they were trying to help me, I remember, uh, they were gonna try to get me into Stanford, into Stanford to go to school, and, uh, you know, I just got up and left. I didn’t even tell them that I was leaving because I had, uh, again as one of the oldest in the family, the girl, you know, the one that your mom always turns to, uh, I mean, I dropped everything in my life. I dropped everything in my life. Uh, I didn’t tell anybody. I mean, these were people that were paying my way to travel everywhere, these— and I didn’t— and you know, looking back I go, “Why, why did I do that?” But the pressure of the family, you know, the pressure of the family to always be there for your family and I think, uh, I think throughout my life and still now I think you, at least for me, I still struggle with, uh, you know, your family issues in terms of putting priority. You know, how much do you help your mom, how much do you help you dad, how much do you help your brothers and sisters, uh, because for me, from, well, I guess, from the time I was ten years old when my mom started working, it’s a struggle that consciously or unconsciously I’ve always had to maneuver my way. Uh, because if I look back, if it would have been up to my mom I would have graduated from high school, gotten married, and had children and that would have been like a lot of my girlfriends, uh, a lot of my girlfriends, you know, getting pregnant. Sometimes, you know, on accident, you know, sometimes a way to get out of the house, sometimes a way to get the guy to marry them. You know, it’s something that we don’t like to talk about but it was very, very, at least it was very much a reality with me, and I knew I wanted to leave the house, and I did get engaged, but I wasn’t gonna leave the house that way. I was going to leave it because I needed to better myself, you know, to find a way out of poverty, and education was the way how I left. Uh, with dignity, with a goal, but, uh, that’s when I dropped out of, uh— they were looking into a master’s program that it was both a master’s and a PhD or something like that and some of the people that I went to school with ended up in Stanford, but I had to go back to Calexico. And—.",,
, [TAPE CUTS],,
,SL,"  …Like I told you, people from all over the United States, to train them in bilingual and bicultural education, it was the first program in the nation. And, so, I remember when I started the program it was all these people from Texas. And, so, the director was always bringing in different people and one of the people he brought was José Angel Gutierrez and he told us, you know, why it was important to have— and that he was recruiting teachers and all this kind of thing. And he also brought Reies Lopez Tijerina. I took a picture, but I remember getting into a little scuffle with him because when he would talk he would, uh, do analogies, sexual analogies, when he would talk about things and I’m going, “Hey, you know, why are you always, you know, making analogies, like, with women?” And I can’t remember the exact thing. ",
,MC,  You challenged him? ,
,SL,"  I, I kinda challenged him, yeah, I kind of— and, you know, who, who in the— but I didn’t give a shit, I mean, I was young and I was a kind of— growing up in the environment that I grew up with, you know, we had, you know, my dad was an alcoholic, my grandfather lived with us, he was an alcoholic, and then we had my two uncles that lived with us and then my brother. So, I mean, I was brought up in a tough environment so to speak. And, then in the poor side of town where, you know, drug addiction— and, so, you had violence and roughness and, and I grew up with that. So, I wasn’t afraid, you know? I’m— when, when, uh, like, I was at MEChA meetings or whatever, I wouldn’t be afraid to challenge men because I had to do it in order to survive. Uh, so I think it was like a skill that I, that I— it wasn’t— it didn’t mean that I wasn’t afraid of things, but I had to survive my environment and, so, I kind of transplanted those skills to survive, you know, in San Diego and then in Sacramento or wherever I went because when I got into the political arena, you know, you met with some guys, you know, like Tijerina, I mean, these were bigger than ourselves, right? These figures were, like, they were the gods and everything they did and everything— and my attitude was, “I don’t think so.” I mean, they were leaders, you know, they were doing a lot of good things, but, you know, we in our own right, no era— people talk to me these days, “Oh, you remember?” I go, “Oh, I used to do that?” They go, “Yeah.” I go, “Oh, no. I wasn’t.” That, that, how— I was pretty brave. Put it that way. I also got into an argument with Corky (laughs). I also got into— ",
,MC,  What was that about?,
,SL,"  And I think they took a picture. Uh, I think he said something about, something about the movement, uh, he made an analogy about, uh, the movement and an orgasm with women or whatever and I’m like, you know, very poor taste. In very poor taste. And I’m like, “Hey, you know, what, you know, do you know what you’re saying? Do you know how—?” You know, just calling these guys, in kind of like a nice way. Not like, “Véte a la chingada,” or something like that, you know? It was like, “Hey, you know what? We’re movement people and so it wasn’t hostile but at the same time trying to reason with some of these guys because some of these guys you couldn’t, you couldn’t reason. Just like with, uh, with a lot of the women, you know? I, I ended up, I ended up coming back, uh, to San Diego. I was— I went back to the Valley and I started getting involved in the politics over there in, uh, in Calexico and I needed a job. I ended up working as a counselor in the high school that I went back to because I needed a job, and my, uh, one of my coworkers would say, “Hey, you know, Sonia, you need to finish your teaching credential.” And I go, “No.” You know, I got right into the politics of Calexico because when I went back you still had all white teachers, you still had— nothing had changed. I had changed, but in Calexico not a whole lot of things— the  Farm Workers Movement was very strong but the political machinery and the, the stronghold of the education, it was all the same. ",
